Account ID,Org Name,Supply ID,Abstraction point reference,D-EH10 Resource consent reference number,D-EH10 Reason not available,D-EH12 Consent conditions met for rate of take and volume?,D-EH12 Total volume of exceedance if conditions not met (m3/yr),D-EH13 Consented instantaneous rate of take (L/s),D-EH13 Reason not available,D-EH14 Maximum daily consented volume (m3/day),D-EH14 Maximum weekly consented volume (m3/7 days),D-EH14 Reason not available,D-EH15 Maximum annual consented volume (m3/year),D-EH15 Reason not available,D-EH10 to D-EH15 Data confidence
ACC-00001012,Hurunui District Council,BAL003,SWAP BU24/0012,CRC154223,,Yes,,11,,950,0,Measure Not Applicable,329413,,4 - Reliable
ACC-00001012,Hurunui District Council,BLY001,N33/0094,CRC156556,,Yes,,2,,200,0,Measure Not Applicable,73000,,4 - Reliable
ACC-00001012,Hurunui District Council,CHE001,"N32/0108,BU26/0044",CRC240404,,Yes,,40,,3171,0,Measure Not Applicable,987946,,4 - Reliable
ACC-00001012,Hurunui District Council,CUL001,N33/0103,CRC062919,,Yes,,28,,900,0,Measure Not Applicable,438000,,4 - Reliable
ACC-00001012,Hurunui District Council,CUL001,N33/0349,CRC062919,,Yes,,34,,1200,0,Measure Not Applicable,438000,,4 - Reliable
ACC-00001012,Hurunui District Council,HAN001,BU24/0009,CRC191743,,Yes,,50,,5900,0,Measure Not Applicable,1739355,,4 - Reliable
ACC-00001012,Hurunui District Council,HAN001,"N32/0358, BU24/0046",CRC191743,,Yes,,68,,5900,0,Measure Not Applicable,1739355,,4 - Reliable
ACC-00001012,Hurunui District Council,HAW001,BV24/0116,CRC223418,,Yes,,50,,4190,0,Measure Not Applicable,1050000,,4 - Reliable
ACC-00001012,Hurunui District Council,HAW001,M33/0227,CRC223418,,Yes,,24,,4190,0,Measure Not Applicable,1050000,,4 - Reliable
ACC-00001012,Hurunui District Council,HAW001,M33/0227,CRC042081,,Yes,,23.5,,0,0,Measure Not Applicable,0,Measure Not Applicable,4 - Reliable
ACC-00001012,Hurunui District Council,HAW001,M33:713-167,CRC002026,,Yes,,16,,900,0,Measure Not Applicable,0,Measure Not Applicable,4 - Reliable
ACC-00001012,Hurunui District Council,KAI039,N33/0095,CRC002016,,Yes,,10,,500,0,Measure Not Applicable,0,Measure Not Applicable,4 - Reliable
ACC-00001012,Hurunui District Council,LOW010,M33/0234,CRC002025,,Yes,,9,,,0,Measure Not Applicable,0,Measure Not Applicable,4 - Reliable
ACC-00001012,Hurunui District Council,MOT016,N33:185-119,CRC002014,,Yes,,26,,2100,0,Measure Not Applicable,0,Measure Not Applicable,4 - Reliable
ACC-00001012,Hurunui District Council,PAR009,O32/0018,CRC002023,,Yes,,10,,490,0,Measure Not Applicable,0,Measure Not Applicable,4 - Reliable
ACC-00001012,Hurunui District Council,WAI026,N32/0115,CRC156528,,Yes,,10,,500,0,Measure Not Applicable,145000,,4 - Reliable
ACC-00001012,Hurunui District Council,WAI068,N34/0125,CRC136767,,Yes,,8,,691,0,Measure Not Applicable,98000,,4 - Reliable
ACC-00008502,Invercargill City Council,INV001,Ōreti River at Branxholme,ES AUTH 99139-V1,,Yes,0,546,,47200,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,FER003,S00519,CRC 042702.1,,No,6000,18.5,,400,2800,,146000,Measure Not Applicable,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,KAI004,G01751,CRC 054849,,Yes,,100,,8640,60480,,3153600,Measure Not Applicable,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,KAI021,S00519,CRC970568.1,,Yes,,4.5,,389,2723,,141985,Measure Not Applicable,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,KAI038,GO1293,,Data Not Available,Yes,,1,,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,KIN003,S00518,CRC 011818,,Yes,,86,,7430,51380,,2711950,Measure Not Applicable,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,OAR001,S00517,CRC 951060.2,,Yes,,4.5,,200,1400,,73000,Measure Not Applicable,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,OCE002,G11035,CRC 194257,,Yes,,20,,1580,11060,,576700,Measure Not Applicable,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,PEK002,G00609,CRC 991951,,Yes,,4.5,,97,679,,35405,Measure Not Applicable,5 - Highly Reliable
ACC-00001094,Kaipara District Council,DAR002,Rotu,8134.01,,Yes,,83,,7200,50400,,2628000,,5 - Highly Reliable
ACC-00001094,Kaipara District Council,DAR002,Waiparataniwha,030845.01.01,,Yes,,,Measure Not Applicable,4465,31255,,1629725,,5 - Highly Reliable
ACC-00001094,Kaipara District Council,GLI001,Glinks Gully,7944.02,,Yes,,,Measure Not Applicable,100,700,,36500,,5 - Highly Reliable
ACC-00001094,Kaipara District Council,MAN003,Mangawhai Bore,20010803201,,Yes,,,Measure Not Applicable,55,385,,20055,,5 - Highly Reliable
ACC-00001094,Kaipara District Council,MAU001,Cattlemount and Boarhill,9888.01,,No,4789,,Measure Not Applicable,2650,18550,,967250,,5 - Highly Reliable
ACC-00001094,Kaipara District Council,MAU001,Piroa,7582.01,,Yes,,12,,1000,7000,,365000,,5 - Highly Reliable
ACC-00001094,Kaipara District Council,RUA001,Ruawai Bores,20010218701,,Yes,,,Measure Not Applicable,450,3150,,73000,,5 - Highly Reliable
ACC-00008506,Kapiti Coast District Council,HAU003,S00081 - Bores next to Otaki River,WGN160082 [38112],,Yes,Includes Water Take from Bores adjacent River,25,,1382,,Measure Not Applicable,504576,,5 - Highly Reliable
ACC-00008506,Kapiti Coast District Council,OTA003,G00302 - Tasman Road North; G00303 - Rangiuru Road Bores; G10071 - Tasman Road Bore South,WGN080379 [32187-88],,Yes,Includes Water Take for Tasman WTP and Rangiuru WTP Bores,115,,11233,,Measure Not Applicable,4100045,,5 - Highly Reliable
ACC-00008506,Kapiti Coast District Council,PAE002,G01595 - Paekakariki Bore; G02086 - Paekakariki Bore 2; S00122 - Wainui Stream,WGN130331 [32355],,Yes,Includes Water Take from Bores and River,16.75,,2160,,Measure Not Applicable,788400,,5 - Highly Reliable
ACC-00008506,Kapiti Coast District Council,WAI010,G01701 - K6 - Wooden Bridge; G01702 - K5 - Nga Manu; G01703 - K4 - Cooper 1; G01704 - Kb4 - Landfill; G01705 - K10 - Market Garden; G10064 - Kb7; G10065 - N2; G10067 - K12,WGN130103 [35973-76],,Yes,Combined Take from Borefield,463,,30700,,Measure Not Applicable,11174800,,5 - Highly Reliable
ACC-00008506,Kapiti Coast District Council,WAI010,S00123 - Waikanae River,WGN130103 [35973-76],,Yes,,463,,30700,,Measure Not Applicable,11174800,,5 - Highly Reliable
ACC-00008542,Kawerau District Council,G00210,BN-220066,20329,,Yes,,152,,12000,0,Measure Not Applicable,0,Measure Not Applicable,
ACC-00008542,Kawerau District Council,G00211,BN-220067,20329,,Yes,,152,,12000,0,Measure Not Applicable,0,Measure Not Applicable,
ACC-00008542,Kawerau District Council,G00212,BN-220068,20329,,Yes,,152,,12000,0,Measure Not Applicable,0,Measure Not Applicable,
ACC-00008572,Mackenzie District Council,,Albury,,,,,,,,,,,,
ACC-00008572,Mackenzie District Council,,Allandale,,,,,,,,,,,,
ACC-00008572,Mackenzie District Council,,Burkes Pass,,,,,,,,,,,,
ACC-00008572,Mackenzie District Council,,Fairlie,,,,,,,,,,,,
ACC-00008572,Mackenzie District Council,,Tekapo,,,,,,,,,,,,
ACC-00008572,Mackenzie District Council,,Twizel,,,,,,,,,,,,
ACC-00007492,Manawatu District Council,G00103 - Himatangi Bore,Bore 332018,Horizons -100537,,Yes,,25,,2160,15120,,788400,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,G01411 - Newbury Line Bore,Bore 326113,ATH-2001008223.01,,Yes,,78,,6000,42000,,2190000,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,G01417 - Campbell Road Bore,Bore 326117,Horizons - 102442,,Yes,,111,,9600,67200,,3504000,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,G01965 - Waituna West Bore,Bore 306009,Horizons -105969,,Yes,,16,,1400,9800,,511000,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,G02118 - Rongotea Bore,Bore 324125,Horizons - 107252,,Yes,,10,,800,5600,,157680,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,G11011 - Ohakea Bore,Bore 324131,Horizons-ATH-2022203819.01,,Yes,,35,,2774,19418,,1015284,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,S00088 - Oroua River,,Horizons - 103269,,Yes,,104,,9000,63000,,3285000,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,S00250 - Rangitikei River at Halcombe,Bore 314009,Horizons - 106311,,Yes,,70,,2000,14000,,730000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,AWA300,Black Birch Stream,U940669,,Yes,,92.6,,8000,56000,,2920000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,BLE001,Bomford St No. 1 Well,U960523,,Yes,,486,,42000,294000,,15330000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,BLE001,Central No. 1 Well,U960523,,Yes,,486,,42000,294000,,15330000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,BLE001,Grove Rd No. 1 Well,U960523,,Yes,,486,,42000,294000,,15330000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,BLE001,Grove Rd No. 2 Well,U960523,,Yes,,486,,42000,294000,,15330000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,BLE001,Grove Rd No. 3 Well,U960523,,Yes,,486,,42000,294000,,15330000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,BLE001,Grove Rd No. 4 Well,U960523,,Yes,,486,,42000,294000,,15330000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,BLE001,Middle Renwick Rd No. 1 Well,U960523,,Yes,,486,,42000,294000,,15330000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,BLE001,Middle Renwick Rd No. 2 Well,U960523,,Yes,,486,,42000,294000,,15330000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,BLE001,Middle Renwick Rd No. 3 Well,U960523,,Yes,,486,,42000,294000,,15330000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,HAV002,Kaituna Well No.1,U080226,,Yes,,28.7,,2000,14000,,730000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,HAV002,Kaituna Well No.2,U080226,,Yes,,28.7,,2000,14000,,730000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,PIC001,Barnes Dam,U071405,,Yes,,34,,2938,20566,,1072372,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,PIC001,Speeds Rd No. 1 Well,U190995,,Yes,,57.8,,5000,35000,,1825000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,PIC001,Speeds Rd No. 2 Well,U190995,,Yes,,57.8,,5000,35000,,1825000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,PIC001,Speeds Rd No. 3 Well,U190995,,Yes,,57.8,,5000,35000,,1825000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,REN001,Condors Bend Rd No. 1 Well,U180374,,Yes,,57.8,,5000,35000,,1825000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,REN001,Condors Bend Rd No. 2 Well,U180374,,Yes,,57.8,,5000,35000,,1825000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,REN001,Gee St No. 4 Well,U180374,,Yes,,57.8,,5000,35000,,1825000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,RIV002,Hardings Rd North Well,U210821,,Yes,,39.2,,3388,23716,,1236625,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,RIV002,Hardings Rd South Well,U210821,,Yes,,39.2,,3388,23716,,1236625,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,RIV002,Malthouse Rd No. 1 Well,U190130,,Yes,,26,,2254.79452054794,15783.5616438356,,823000,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,WAI034,Wairau Valley No. 1 Well,U171044,,Yes,,5.5,,480,3360,,175200,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,WAI034,Wairau Valley No. 2 Well,U171044,,Yes,,5.5,,480,3360,,175200,,5 - Highly Reliable
ACC-00001026,Masterton District Council,MAS002,Kaituna,WAR170176,,Yes,,460,,40000,,,14600000,,5 - Highly Reliable
ACC-00001026,Masterton District Council,TIN002,Tinui Spring,WAR010244,,Yes,,,Measure Not Applicable,90,,,32850,,5 - Highly Reliable
ACC-00001026,Masterton District Council,WAI058,Wainuioru Bore,WAR210056,,Yes,,10,,720,,,262080,,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,HIN002,64_871,AUTH143383.01.01,,Yes,0,,Measure Not Applicable,200,1400,,40000,,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,HIN002,72_10641,AUTH143383.01.01,,Yes,0,,Measure Not Applicable,200,1400,,40000,,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,MAT004,64_511,119179,,Yes,0,,Measure Not Applicable,2500,17500,,600000,,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,MAT004,72_4434,119179,,Yes,0,,Measure Not Applicable,2500,17500,,600000,,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,MAT004,72_448,AUTH121950.01.01,,Yes,0,,Measure Not Applicable,1500,10500,,300000,,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,MAT004,"Waiteariki Stream, Tills Road - Matamata",AUTH119917.01.02,,Yes,0,55,,4400,30800,,1200000,,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,MOR001,64_673,AUTH126657.01.02,,Yes,0,,Measure Not Applicable,10000,70000,,120000,,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,MOR001,72_10485,AUTH142378.01.02,,Yes,0,60,,4000,28000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,MOR001,72_11133,AUTH126657.01.02,,Yes,0,,Measure Not Applicable,10000,70000,,120000,,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,MOR001,Topehaehae Stream. NZTM1827742 5814276,AUTH120720.02.01,,Yes,0,140,,10000,70000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,TEA003,Pohomihi Stream NZMS T13 553-006,104581,,Yes,0,40,,4500,31500,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,TEA003,Rolleston Street - Te Aroha NZMS 260 T13:499-026,AUTH109740.01.02,,Yes,0,116,,10000,70000,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,TEA003,Tunakohoia Stream NZMS 260 T13:508-409,104578,,Yes,0,,Measure Not Applicable,3500,24500,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,TEA003,Tutumangao Stream NZMS 260 T13:508-034,104580,,Yes,0,40,,3500,24500,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,TEP003,"Tepapa-Te Poi South Rd, NZMS 260 T15:609-657",AUTH118256.01.02,,Yes,0,10,,120,840,,25000,,5 - Highly Reliable
ACC-00008588,Ministry of Education,,,,Measure Not Applicable,,,,,,,,,,
ACC-00001141,Napier City Council,NAP001NA,A2,AUTH-116128-04,,Yes,,130,,11232,70000,,3650000,,5 - Highly Reliable
ACC-00001141,Napier City Council,NAP001NA,A3,AUTH-116128-04,,Yes,,130,,11232,70000,,3650000,,
ACC-00001141,Napier City Council,NAP001NA,T2,AUTH-116128-04,,Yes,,100,,8640,58060,,3027414,,5 - Highly Reliable
ACC-00001141,Napier City Council,NAP001NA,T3,AUTH-116128-04,,Yes,,70,,6048,36288,,1892160,,5 - Highly Reliable
ACC-00001141,Napier City Council,NAP001NA,T5,AUTH-116128-04,,Yes,,120,,10368,69552,,3626640,,5 - Highly Reliable
ACC-00001141,Napier City Council,NAP001NA,T6,AUTH-116128-04,,Yes,,130,,11232,69552,,3626640,,5 - Highly Reliable
ACC-00001141,Napier City Council,NAP001NA,T7,AUTH-116128-04,,Yes,,130,,11232,75600,,3942000,,5 - Highly Reliable
ACC-00008541,Nelson City Council,NEL001,Maitai Dam,RM165192,,Yes,,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008541,Nelson City Council,NEL001,Maitai South River,RM165192,,Yes,,300,,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008541,Nelson City Council,NEL001,Roding,RM165239,,Yes,,254,,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008525,New Plymouth District Council,ING001,Ngatoro Contingency,"3934-3.0, 5188-1.0",,Yes,,75,,5000,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008525,New Plymouth District Council,ING001,Ngatoro Infiltration gallery,"4509-2.0, 4510-2.0, 5869-2.0",,Yes,,70,,4850,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008525,New Plymouth District Council,NEW002,Lake,"0672-3.0, 0673-3.0, 2055-3.1, 6643-2.0, 7122-1.0, 11248-1.0, 11284-1.0, 7146-1",,Yes,,740,,60480,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008525,New Plymouth District Council,NEW002,River,,Measure Not Applicable,Yes,,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008525,New Plymouth District Council,OAK001,Bore 100,"1278-4.0, 5713-2.0, 6114-2.0",,Yes,,35,,3715,,,1000000,,5 - Highly Reliable
ACC-00008525,New Plymouth District Council,OAK001,Bore 250,10770-1.0,,Yes,,35,,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008525,New Plymouth District Council,OAK001,Wairau Stream,1278-4,,Yes,,15,,1300,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008525,New Plymouth District Council,OKA002,Mangatete Stream,"00026-4, 4805-3.0, 9959-1",,Yes,,13.8,,1000,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00001000,New Zealand Defence Force,,Bore M35/0914 (West Melton),CRC972759.1,,Yes,,9,,329.142857142857,,,,Measure Not Applicable,4 - Reliable
ACC-00001000,New Zealand Defence Force,BAL005,"I37/0015 (Tekapo, Fork Stream)",CRC195159,,Yes,,3.8,,200,,,30000,,4 - Reliable
ACC-00001000,New Zealand Defence Force,BUR001,GO3072 (Burnham Bore),CRC213896,,Yes,,30,,2592,,,,Measure Not Applicable,4 - Reliable
ACC-00001000,New Zealand Defence Force,DIP002,"S00771 (Dip Flat, Unnamed Stream)",U000906,,Yes,,0.5,,170,,,,Measure Not Applicable,4 - Reliable
ACC-00001000,New Zealand Defence Force,LIN001,Bore-345041 (Linton Bore 11),101974 / ATH-2002009502.01,,Yes,,5,,390,,,,Measure Not Applicable,4 - Reliable
ACC-00001000,New Zealand Defence Force,LIN001,Bore-345077 (Linton Bore 15),ATH-2007011654.01,,Yes,,35.4,,1500,,,,Measure Not Applicable,4 - Reliable
ACC-00001000,New Zealand Defence Force,LIN001,Bore-345181 (Linton Bore 13),101976 / ATH-2002009504.01,,Yes,,13,,1080,,,,Measure Not Applicable,4 - Reliable
ACC-00001000,New Zealand Defence Force,LIN001,Bore-345191 (Linton Bore 14),ATH-2002009505.03,,Yes,,16.3,,1410,,,,Measure Not Applicable,4 - Reliable
ACC-00001000,New Zealand Defence Force,LIN001,Bore-345210 (Linton Bore 3),101973 / ATH-2002009501.01,,Yes,,4,,290,,,,Measure Not Applicable,4 - Reliable
ACC-00001000,New Zealand Defence Force,WAI002,Waiouru Stream (Waiouru),7317,,No,,63,,5455,,,,Measure Not Applicable,4 - Reliable
ACC-00001000,New Zealand Defence Force,WAI002,Waitangi Stream (Waiouru),7342,,Yes,,63,,5455,,,,Measure Not Applicable,4 - Reliable
ACC-00001000,New Zealand Defence Force,WOO004,"P28w/1106, P28w/1115, P28w/4573",210323.02,,Yes,,,Measure Not Applicable,15000,,,,Measure Not Applicable,4 - Reliable
ACC-00008500,Opotiki District Council,OPO001,Headley Bores 1 and 2,BOPRC RC 66501 - Taking water from two bores for public supply,,Yes,,57,,4925,34475,,1802550,,5 - Highly Reliable
ACC-00008500,Opotiki District Council,OPO001,"Woodlands bore, since expired and no longer used.",RC 68042 - Taking of water from a bore for public supply,,Yes,,9,,778,5446,,283970,,5 - Highly Reliable
ACC-00008500,Opotiki District Council,TEK004,Puremutahuri Stream,RC 61174 - Taking of water from shallow filter bed,,Yes,,15,,972,6804,,354780,,5 - Highly Reliable
ACC-00008562,Otorohanga District Council,HUI007,S00410 Huirimu,136074.01.01,Measure Not Applicable,No,"24/11/24 -17.7- Dugout repair works carried out. The dugout was in bypass mode and the water to the reticulation was pumped out manually. 09/01/25 Scada Error. 03/02/2025-261-A leak was identified in the reticulation system, leading to increased production and intake levels that exceeded the consent limit to maintain water supply to the farms. 12/03/25,16/03/25,30/03/25- Flow meter reading Error",10.7,,925,6475,,337625,,4 - Reliable
ACC-00008562,Otorohanga District Council,KAH005,S00411 Kahorekau,136074.01.01,Measure Not Applicable,No,"05/09/24 -07/09/24- Scada Error, 01/10/24, 11,12,13,14,15/10/24, 19,20,21,22/10/24 - Exceedances throughout October occurred as the setpoint was set at 985m3/day as per the consent and the plant stopped producing water once this setpoint was reached. However, a small volume of water in the treated water pipeline continued to flow even after the plant was turned off.  This caused small exceedences. The set point has been reduced to  983 m3 to accomodate the excess volume in the pipeline.",11.4,,985,6895,,359525,,4 - Reliable
ACC-00008562,Otorohanga District Council,KAW001,G00117 Kawhia,120401,,Yes,,0,,600,4200,,176068,,4 - Reliable
ACC-00008562,Otorohanga District Council,OTO001,S00103 Otorohanga,130076.01.01,,Yes,,61,,5000,35000,,1825000,,4 - Reliable
ACC-00008562,Otorohanga District Council,TAU301,S00412 Taupaki,136074.01.01,,Yes,0,2,,450,3150,,164250,,4 - Reliable
ACC-00008562,Otorohanga District Council,TIH001,S00407 Tihiroa,114845,,No,"15/04/25 ,16/04/25- Scada Error",24,,1500,10500,,547500,,4 - Reliable
ACC-00008549,Palmerston North City Council,ASH001,Bore 337015 & 337013,105191 & 105192,,Yes,0,,Measure Not Applicable,5300,,,706000,,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,BUN001,Bore 326103,105644,,Yes,0,,Measure Not Applicable,600,,,219000,,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,LON001,Bore 335351,106233,,No,12562,,Measure Not Applicable,250,,,45000,,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,PAL001,335121 (Tākaro Bore),ATH-2018201933.02,,Yes,0,139,,10800,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,PAL001,336101 (Pap Bore 1),ATH-2018201933.02,,Yes,0,70,,6000,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,PAL001,"336101 (Pap Bore 1), 336245 (Pap Bore 2), 336299 (Pap Bore 3)",ATH-2018201933.02,,Yes,0,230,,17980,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,PAL001,"336101 (Pap Bore 1), 336299 (Pap Bore 3)",ATH-2018201933.02,,Yes,0,120,,8380,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,PAL001,336223 (Keith St 1),ATH-2018201933.02,,Yes,0,84,,7200,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,PAL001,"336223 (Keith St 1), 336317 (Keith St 2)",ATH-2018201933.02,,Yes,0,111,,8640,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,PAL001,336245 (Pap Bore 2),ATH-2018201933.02,,Yes,0,112,,9600,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,PAL001,336253 (Roberts Line Bore 1),ATH-2018201933.02,,Yes,0,70,,6000,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,PAL001,336253 (Roberts Line Bore 1) & 336257 (Roberts Line Bore 2),ATH-2018201933.02,,Yes,0,139,,12000,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,PAL001,"336253 (Roberts Line Bore 1), 336257 (Roberts Line Bore 2), 335121 (Tākaro Bore), 336101 (Pap Bore 1), 336245 (Pap Bore 2), 336299 (Pap Bore 3), 336223 (Keith St 1), 336317 (Keith St 2), 336307 (Railway Road)",ATH-2018201933.02,,Yes,0,,Measure Not Applicable,,,Measure Not Applicable,13274500,,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,PAL001,336257 (Roberts Line Bore 2),ATH-2018201933.02,,Yes,0,139,,12000,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,PAL001,336299 (Pap Bore 3),ATH-2018201933.02,,Yes,0,120,,8380,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,PAL001,336307 (Railway Road),ATH-2018201933.02,,No,0,73,,6250,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,PAL001,336317 (Keith St 2),ATH-2018201933.02,,Yes,0,111,,8640,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008549,Palmerston North City Council,PAL001,Turitea Stream,105146/3,,Yes,0,428,,37000,,,,Measure Not Applicable,5 - Highly Reliable
ACC-00001187,Papakura,,,,Measure Not Applicable,,,,,,,,,,
ACC-00008584,Queenstown Lakes District Council,ARR001,G01342,RM19.410.01,,No,11267,108,,7800,,,1274200,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,ARR001,G03086,RM19.410.01,,No,,108,,7800,,,1274200,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,ARR001,G03087,RM19.410.01,,No,,108,,780,,,1274200,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,ART001,G01974,2005.762,,Yes,,49,,3385,,,823200,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,ART001,G02103,2005.762,,Yes,,49,,3385,,,823200,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,CAR014,S10142,RM21.628.03,,Yes,,15,,1296,,,382920,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,CAR014,S10142,RM22.466.01,,Yes,,30,,1452,,,315000,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,CAR014,S10145,RM21.628.03,,Yes,,15,,1296,,,382920,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,GLE003,G00313,2009.158,,Yes,,62,,5400,,,599184,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,GLE003,G01975,2009.158,,Yes,,62,,5400,,,599184,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,HAW002,,2008.235,,Yes,,180,,,,Measure Not Applicable,1202100,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,HAW002,G02143,RM14.278.01,,Yes,,180,,13500,,,1202100,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,HAW002,G03064,RM14.278.01,,Yes,,180,,13500,,,1202100,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,HAW002,G03065,RM14.278.01,,Yes,,180,,13500,,,1202100,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,HAW002,G03066,RM14.278.01,,Yes,,180,,13500,,,1202100,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,LAK003,G00312,2001.822,,No,1226.34,40,,2200,,,15400,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,LAK003,G01976,2001.822,,No,,40,,2200,,,15400,,5 - Highly Reliable
