Field,Page,Description
W-R8 Number of third-party incidents,WW Organisations,Number of third-party incidents.
W-R8 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-R7 to W-R8 Data confidence,WW Organisations,Provider-assessed confidence level for these data points.
W-R9.1 % of WW pipes with condition grading,WW Organisations,Percentage of wastewater pipes with condition grading.
W-R9.1 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-R9.1 Data confidence,WW Organisations,Provider-assessed confidence level for this data point.
W-R9.2 WW pipe condition grading methodology,WW Organisations,Methodology used to grade wastewater pipe condition.
W-R9.2 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-R9.2 Data confidence,WW Organisations,Provider-assessed confidence level for this data point.
W-R10 % WW pipes in poor or very poor condition,WW Organisations,Percentage of pipes in poor or very poor condition.
W-R10 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-R10 Data confidence,WW Organisations,Provider-assessed confidence level for this data point.
W-R11 Average age of wastewater pipes (years),WW Organisations,Average age of wastewater pipes.
W-R11 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-R11 Data confidence,WW Organisations,Provider-assessed confidence level for this data point.
W-R12 % WW pipes with CCTV inspections in last 5 years,WW Organisations,Percentage of pipes inspected by CCTV in last five years.
W-R12 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-R12 Data confidence,WW Organisations,Provider-assessed confidence level for this data point.
W-R13.1 % above-ground assets with condition grading,WW Organisations,Percentage of above-ground assets with condition grading.
W-R13.1 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-R13.1 Data confidence,WW Organisations,Provider-assessed confidence level for this data point.
W-R13.2 Above-ground asset grading methodology,WW Organisations,Methodology used for above-ground asset grading.
W-R13.2 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-R13.2 Data confidence,WW Organisations,Provider-assessed confidence level for this data point.
W-R14 % above-ground assets in poor or very poor condition,WW Organisations,Percentage of above-ground assets in poor or very poor condition.
W-R14 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-R14 Data confidence,WW Organisations,Provider-assessed confidence level for this data point.
W-RE1 Grid electricity use (kWh),WW Organisations,Annual grid electricity consumption.
W-RE1 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-RE2 Energy use from other fuels (GJ),WW Organisations,Annual energy use from non-electric fuels.
W-RE2 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-RE1 to W-RE2 Data confidence,WW Organisations,Provider-assessed confidence level for these data points.
W-RL1.1 Critical wastewater assets assessment undertaken?,WW Organisations,Whether a critical asset assessment has been undertaken.
W-RL1.1 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-RL1.1 Data confidence,WW Organisations,Provider-assessed confidence level for this data point.
W-RL1.2 Criticality methodology,WW Organisations,Methodology used to assess criticality.
W-RL1.2 Reason not available,WW Organisations,Shows any reasons why this data point is not available.
W-RL1.2 Data confidence,WW Organisations,Provider-assessed confidence level for this data point.
Account ID,WW Networks,Unique identifier for the reporting organisation account submitting NEPR data.
Org Name,WW Networks,Registered name of the reporting organisation.
Wastewater network ID,WW Networks,Unique identifier for a wastewater network or treatment system.
Wastewater network/plant name,WW Networks,Name of the wastewater network or treatment plant.
W-A2 Total length of wastewater pipes (km),WW Networks,Total length of wastewater pipes.
W-A2 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-A2 Data confidence,WW Networks,Provider-assessed confidence level for this data point.
W-A7 Wastewater treatment processes - highest level,WW Networks,Highest-level wastewater treatment processes applied.
W-A8 Receiving environment for treated wastewater,WW Networks,Environment receiving treated wastewater.
W-A9 Volume of wastewater treated at treatment plant (m3/year),WW Networks,Annual volume of wastewater treated.
W-A9 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-A9.1 Average nominal flows (L/s),WW Networks,Average nominal wastewater flows.
W-A9.1 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-A9.2 Average peak flows (L/s),WW Networks,Average peak wastewater flows.
W-A9.2 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-A9.3 Reason for peak flow,WW Networks,Reason provided for peak flow conditions.
W-A10 Volume of trade waste treated (m3/year),WW Networks,Annual volume of trade waste treated.
W-A10 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-A11 Volume of septage imported for treatment (m3/year),WW Networks,Annual volume of septage imported for treatment.
W-A11 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-A12 Volume of treated wastewater applied to land (m3/year),WW Networks,Annual volume of treated wastewater applied to land.
W-A12 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-A7 to W-A12 Data confidence,WW Networks,Provider-assessed confidence level for these data points.
W-EH1 Number of residential connections,WW Networks,Number of residential connections to the wastewater network.
W-EH1 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-EH1 Method of determining connections,WW Networks,Method used to determine residential connection counts.
W-EH2 Number of non-residential connections,WW Networks,Number of non-residential connections to the wastewater network.
W-EH2 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-EH2 Method of determining connections,WW Networks,Method used to determine non-residential connection counts.
W-EH3 Total population served by the wastewater network,WW Networks,Estimated population served by the wastewater network.
W-EH3 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-EH1 to W-EH3 Data confidence,WW Networks,Provider-assessed confidence level for these data points.
W-EH4 Number of resource consents held for WW network,WW Networks,Number of resource consents held for the wastewater network.
W-EH4 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-EH9 WW overflow regulation approach under local regional plan,WW Networks,Regulatory approach for wastewater overflows.
W-EH9 Comments,WW Networks,Additional explanatory comments provided by the organisation.
W-EH4 to W-EH9 Data confidence,WW Networks,Provider-assessed confidence level for these data points.
W-EH20 WWTP peak flow to nominal flow ratio,WW Networks,Ratio of peak to nominal flow at the treatment plant.
W-EH20 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-EH21 Design standards for calculating WW overflow capacity,WW Networks,Design standards used for overflow capacity calculations.
W-EH21 Comments,WW Networks,Additional explanatory comments provided by the organisation.
W-EH22 Levels of service for preventing WW overflows due to stormwater (%),WW Networks,Levels of service applied to prevent stormwater-driven overflows.
W-EH22 Comments,WW Networks,Additional explanatory comments provided by the organisation.
W-EH21 to W-EH23 Data confidence,WW Networks,Provider-assessed confidence level for these data points.
W-RE3 Wastewater treatment wetland emissions (tCO2e/year),WW Networks,Emissions from wastewater treatment wetlands.
W-RE3 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-RE4 Wastewater effluent disposal emissions (tCO2e/year),WW Networks,Emissions from wastewater effluent disposal.
W-RE4 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-RE5 Wastewater sludge treatment emissions (tCO2e/year),WW Networks,Emissions from wastewater sludge treatment.
W-RE5 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-RE6 Wastewater sludge disposal emissions (tCO2e/year),WW Networks,Emissions from wastewater sludge disposal.
W-RE6 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-RE3 to W-RE6 Data confidence,WW Networks,Provider-assessed confidence level for these data points.
W-RE7 Production of biosolids (m3),WW Networks,"Total volume of biosolids produced each year by wastewater treatment, in cubic metres, as specified in the Measures and Guide 2025. Note that some suppliers appear to have reported on a mass basis, so values may not be directly comparable."
W-RE7 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-RE8 % of dry solids in biosolids,WW Networks,Percentage of dry solids in biosolids.
W-RE8 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-RE9 % disposal of biosolids to onsite stockpile,WW Networks,Percentage of biosolids disposed to onsite stockpile.
W-RE9 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-RE10 Disposal of biosolids to landfill (tonnes),WW Networks,Quantity of biosolids disposed to landfill.
W-RE10 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-RE11 Disposal of biosolids composting and reuse (tonnes),WW Networks,Quantity of biosolids composted or reused.
W-RE11 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-RE11 Biosolids reuse - how and where,WW Networks,Description of how and where biosolids are reused.
W-RE12 Disposal of biosolids to other routes (tonnes),WW Networks,Quantity of biosolids disposed through other routes.
W-RE12 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-RE13 Last year plant or pond was desludged (yyyy),WW Networks,Most recent year the plant or pond was desludged.
W-RE13 Reason not available,WW Networks,Shows any reasons why this data point is not available.
W-RE7 to W-RE13 Data confidence,WW Networks,Provider-assessed confidence level for these data points.
Account ID,WW Consents,Unique identifier for the reporting organisation account submitting NEPR data.
Org Name,WW Consents,Registered name of the reporting organisation.
Network ID,WW Consents,Identifier linking wastewater consents to a network.
W-EH5 Type of resource consent,WW Consents,Type of wastewater-related resource consent held.
W-EH5 Comments,WW Consents,Additional explanatory comments provided by the organisation.
W-EH6 Resource consent reference number,WW Consents,Official reference number for the resource consent.
W-EH7 Resource consent expiry date,WW Consents,Expiry date of the resource consent.
W-EH7 Comments,WW Consents,Additional explanatory comments provided by the organisation.
W-EH7 Currently operating under this consent?,WW Consents,Indicates whether operations are currently under this consent.
W-EH8 Consent status,WW Consents,Current status of the resource consent.
W-EH8 Comments,WW Consents,Additional explanatory comments provided by the organisation.
W-EH5 to W-EH8 Data confidence,WW Consents,Provider-assessed confidence level for these data points.
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
